"","code","metadata","value","coef","stderr","N","N.not.0","pval","qval","X","species"
"71","b15a1d1ca8cb6871ebcc90458676722bb0","diagnosis","healthy",3.57197630274782,0.401946289431329,1496,1091,1.77207200339417e-18,7.30093665398398e-17,34,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus;s__nan"
"11","b10ea2f388d01fdb0596aa78cf4f38328b","diagnosis","healthy",2.22246351219757,0.343558534199814,1496,313,1.33457170955129e-10,1.83281181445043e-09,76,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__nan"
"82","b167f17eddacc66099314df9e643ec827a","diagnosis","healthy",2.16170177874866,0.449511971300305,1496,772,1.67002170017195e-06,1.07507646948569e-05,192,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] hallii group;s__nan"
"93","b1779a4f60fe5ec1ea86ac1c0608b90598","diagnosis","healthy",2.05359905654241,0.442312209547802,1496,1121,3.73944891352459e-06,2.08196344915153e-05,12,"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__nan"
"60","b1506854e0c339cf4bdf27d1ebfaf23c96","diagnosis","healthy",2.0246682479352,0.357855854681475,1496,1218,1.83536141374756e-08,1.57535188013332e-07,44,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__nan"
"58","b14f0342db7c2db310dd0538a61daa0acd","diagnosis","healthy",2.00747637272384,0.389785672199832,1496,389,2.94906652966952e-07,2.25002853745156e-06,162,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-001;s__nan"
"76","b160a59a049d1fd2a70a4bd678bb2e6578","diagnosis","healthy",1.83916989401021,0.388946201778469,1496,1239,2.47421678010277e-06,1.45625330486049e-05,5,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__nan"
"41","b13cf23e5cb3f6deace8a58692a93650d4","diagnosis","healthy",1.78991034374652,0.459192583219517,1496,817,0.000101311375403157,0.000472828427051917,89,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae R-7 group;s__nan"
"59","b1502a6e564f7c55bec02e9636a4673f22","diagnosis","healthy",1.78355601896111,0.376078521516586,1496,466,2.3126957682333e-06,1.40122155369429e-05,257,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae FCS020 group;s__nan"
"143","b1bcb7fbf3fc5e6e6689f2782dfa7c9214","diagnosis","healthy",1.76616205937728,0.319138981410767,1496,239,3.68893864312585e-08,3.0396854419357e-07,64,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56;s__nan"
"170","b1dcb75f6a8c6977fb765873db67a3af50","diagnosis","healthy",1.75366032635235,0.376973890102237,1496,349,3.57897205702602e-06,2.04796734374267e-05,73,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella;s__nan"
"75","b16061073778a1fa0076ab0d0ef79c0576","diagnosis","healthy",1.7150781405028,0.405809993638491,1496,446,2.51967450945604e-05,0.000129763237236986,28,"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__longum"
"89","b173d326dfc7175243b6380005a6427afb","diagnosis","healthy",1.69869145399815,0.461533720589147,1496,758,0.000241021346560677,0.000940478591712848,81,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium sensu stricto 1;s__nan"
"128","b1a859d223220d895f5d45dabe74141b6b","diagnosis","healthy",1.66949289609288,0.363613784510184,1496,288,4.77291235202545e-06,2.58742090662432e-05,108,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae UCG-003;s__nan"
"109","b19107a868b6b59f30b0ec225c29ce8536","diagnosis","healthy",1.63159996345018,0.443831508453313,1496,999,0.00024515738890643,0.000940478591712848,0,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__nan;s__nan"
"203","b1fe22ab3798ba13c8038369aca8a48b39","diagnosis","healthy",1.58358405572514,0.333751519550579,1496,238,2.28673635922012e-06,1.40122155369429e-05,61,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__callidus"
"200","b1fc9e90d04fb6a435633fa535735b3c61","diagnosis","healthy",1.57905641740397,0.414768526146381,1496,412,0.000146312460822323,0.000627924311029138,6,"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister;s__nan"
"46","b146081e08a40f6d2cac1a0076ef439b69","diagnosis","healthy",1.56133867801711,0.396609241353501,1496,1080,8.64086044776068e-05,0.00042614829062608,116,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__nan;g__nan;s__nan"
"160","b1cf84e52bf74f3863ce74a9718dfed82a","diagnosis","healthy",1.51334348255682,0.397431776286627,1496,359,0.000145885198827153,0.000627924311029138,46,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] ruminantium group;s__nan"
"83","b16984b3392e9fb90c01c216f42bcb9fd3","diagnosis","healthy",1.50773987852193,0.410829620547407,1496,359,0.000251098653127217,0.000940478591712848,10,"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__plebeius"
"114","b192bfeb1c1b050419acb2e6fdf68a619f","diagnosis","healthy",1.48181298435646,0.407706990913913,1496,442,0.000287968159032121,0.00104072703088802,145,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__nan"
"167","b1d8b64257a575a54d87d8cb8ef5a6f865","diagnosis","healthy",1.48073517241185,0.376261614905192,1496,429,8.68846029431813e-05,0.00042614829062608,129,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] xylanophilum group;s__nan"
"113","b192aa391d536f0f042dc5d1588f247720","diagnosis","healthy",1.42680178900623,0.424011886088698,1496,431,0.000784845987424226,0.00252495988306823,125,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__nan"
"182","b1e7167a0db199c263231c200e386b43ec","diagnosis","healthy",1.37798895908535,0.272196269574081,1496,193,4.65294531269661e-07,3.30519563591552e-06,277,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia-Caballeronia-Paraburkholderia;s__nan"
"19","b11ed36ca8a0a1c2853d0487b3f726b362","diagnosis","healthy",1.37097403619251,0.407926691660524,1496,390,0.000796710642715704,0.00252495988306823,176,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__nan"
"45","b145cf78b0aa2c68829535510f7aa60765","diagnosis","healthy",1.37028407671835,0.480107194889461,1496,713,0.00437524476207383,0.0115551336024001,11,"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__faecium"
"201","b1fcb664ad722b53e7011d4dc99e8d3f44","diagnosis","healthy",1.36138638171386,0.383275884494534,1496,328,0.000394246014258137,0.00137651998198604,88,"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__nan"
"4","b10a0330b28511bbb8b7f56cb12fe870e4","diagnosis","healthy",1.3349814966994,0.457927886823693,1496,677,0.00360690916297368,0.00984363363875627,104,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia UCG-014;f__nan;g__nan;s__nan"
"154","b1cb6b0f634a13051621009755380d85b9","diagnosis","healthy",1.31467481209618,0.387314012434941,1496,414,0.000705989536624261,0.00230847372293012,166,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__nan;s__nan"
"1","b107481f3562552ef752f145f28ce0d090","diagnosis","healthy",1.29354923654273,0.288970166760917,1496,221,8.16779162773561e-06,4.31426942388086e-05,195,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Phocea;s__massiliensis"
"54","b14cb2b7f9bb20665ee47b69c7cf83f496","diagnosis","healthy",1.25125678653862,0.398013439073524,1496,347,0.00170077595881152,0.00515235069875253,15,"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister;s__invisus"
"105","b18af7f7e238eaf8a622a14d685d698577","diagnosis","healthy",1.24947105328096,0.332346124514808,1496,292,0.000176797194929499,0.000743269839907692,128,"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__nan;g__nan;s__nan"
"171","b1dd2bb805edd5e6ec8e0c29bfc0204976","diagnosis","healthy",1.20293932486233,0.327656491523107,1496,210,0.000249783262644605,0.000940478591712848,22,"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__coprocola"
"125","b1a5c64bc90cee0406376b4b105c82f471","diagnosis","healthy",1.16440517829582,0.411735463155133,1496,384,0.00474594605215032,0.0123755048954806,165,"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella;s__nan"
"33","b12dbe9fe80d5798a896d9dfb4bb95cce3","diagnosis","healthy",1.1482066468141,0.3340330586426,1496,232,0.000603467912939107,0.00200507080750736,68,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__eutactus"
"156","b1cc4093702d868509da7322393693cad5","diagnosis","healthy",1.14796057093512,0.29353000388435,1496,192,9.60886889006668e-05,0.000460331858454357,149,"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Allisonella;s__nan"
"106","b18d49bd1b6221f6f23c816ecf33f40b59","diagnosis","healthy",1.14657734081985,0.420153797334571,1496,593,0.00642832729324515,0.0163485854618334,240,"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__nan"
"104","b18961aba5618a236a6ffe2bf1a5aefaf9","diagnosis","healthy",1.135128774755,0.309901506641803,1496,169,0.000258118023217491,0.000949505585407197,23,"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__funiformis"
"197","b1f8e77f975341338a2a1204a2e3d31f09","diagnosis","healthy",1.11916997368202,0.322788387851665,1496,216,0.000540857604251162,0.00182650272911048,42,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__nan"
"62","b15152e083bb787853a94246117f624d29","diagnosis","healthy",1.11879405851144,0.464851351322105,1496,631,0.0162148519576948,0.0337399949826781,20,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__bromii"
"147","b1c5d0a28efd45d318fb7b67252f7b5103","diagnosis","healthy",1.09851661978075,0.408233386088301,1496,594,0.00720548086805592,0.0181015738880429,147,"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella;s__nan"
"188","b1ec30bfee3d218aa5bc1a27d1980998c8","diagnosis","healthy",1.08881010357951,0.296356359686884,1496,293,0.000247240220213788,0.000940478591712848,598,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__nan;s__nan"
"163","b1d10c501b5b3c06a4b77126e2ebc203d4","diagnosis","healthy",1.03424175584544,0.386283127937308,1496,481,0.00750056423675177,0.018615858226155,84,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter;s__sanguinis"
"196","b1f8243176c50eac5df678c9670e792623","diagnosis","healthy",1.03158181213107,0.354115618930011,1496,328,0.00363163182789066,0.00984363363875627,233,"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__mucilaginosa"
"165","b1d2905c51948040bad3a07636086d2b27","diagnosis","healthy",1.03021420496238,0.366818851090441,1496,314,0.00504201172661782,0.0129831801960409,82,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__nan"
"39","b1387d2171e35060b3aded21c493278158","diagnosis","healthy",0.99772604947565,0.411286234616374,1496,609,0.0153898105570749,0.0328718087165296,17,"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__muciniphila"
"144","b1bebd5e4cd4f22c0f852ed85d2e2fcae9","diagnosis","healthy",0.991914429913283,0.43152731519398,1496,613,0.0216646397928706,0.0433292795857412,71,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__nan"
"168","b1d8e8ef93db6fc4cc35f20e86536bce8e","diagnosis","healthy",0.991784612989144,0.299483555021188,1496,219,0.000949656551475462,0.00296407953945371,221,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003;s__nan"
"67","b154c7bd850e0ee965a8d0e2132e39aea7","diagnosis","healthy",0.988201476487947,0.405038633214083,1496,539,0.0148124254253716,0.032461272740708,133,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__catus"
"31","b12ccaa9cd79a60eb9464315c967fedec1","diagnosis","healthy",0.975495714842928,0.327848675745947,1496,1325,0.00297267746900887,0.00838865148788805,4,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__nan;s__nan"
"18","b11a6cdb584c01dd758a6f1b35a5536fdc","diagnosis","healthy",0.939796185313181,0.381683834396766,1496,402,0.0139197211804884,0.0311680713389198,86,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella;s__excrementihominis"
"66","b1540a2bb471d8cb4d209bad8a8b8cd120","diagnosis","healthy",0.937196156340357,0.365418620363957,1496,465,0.0104230646126265,0.0249668757000124,267,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__nan"
"127","b1a7424bcc72b7dbb0b0bf9db8a8dcb36a","diagnosis","healthy",0.926698143648786,0.37177612803334,1496,1229,0.0127879456742877,0.0293189999239056,31,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium;s__nan"
"98","b18321c478f526d8f795f5486ce3c6c94e","diagnosis","healthy",0.900292972091228,0.371475227913294,1496,311,0.0154874340372971,0.0328718087165296,35,"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Megasphaera;s__nan"
"20","b11fc296b46731484ab3b8ea29dfeb6f92","diagnosis","healthy",0.890275040004144,0.351227553201041,1496,314,0.0113541608802458,0.0268845648428808,217,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__nan"
"161","b1cfb203b2dc8e8aaafe9a910325c862e0","diagnosis","healthy",0.873025476296994,0.359741147970647,1496,312,0.0153498211725714,0.0328718087165296,117,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-004;s__nan"
"69","b1571556c932b90dd04845f81d11a40e3c","diagnosis","healthy",0.869438602807212,0.287206353833284,1496,1358,0.00251037666516296,0.00728362807075451,27,"d__Bacteria;p__Firmicutes;c__Clostridia;o__nan;f__nan;g__nan;s__nan"
"84","b16c43761790646a220c398681c0a596a4","diagnosis","healthy",0.851466956047129,0.341675420852364,1496,405,0.0128092718114151,0.0293189999239056,253,"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__nan;s__nan"
"130","b1aab3e849c2a62e7a63557efca880df8f","diagnosis","healthy",0.820105762741228,0.330638595133115,1496,323,0.0132342613320903,0.0299588773012155,231,"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__TM7x;s__nan"
"189","b1ecefeec7e2d71dc987c1e03adbab66b6","diagnosis","healthy",0.779357410238395,0.296047837427082,1496,195,0.00856234988123792,0.0207511067710001,223,"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Coprobacter;s__nan"
"85","b16d596b7e05ece4830e9c2acc82bf8169","diagnosis","healthy",0.744571565373889,0.30323296005097,1496,232,0.0141845216512934,0.0314194780663058,60,"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__copri"
"162","b1d030acdcd4f0e4acfdc9859bfd701dba","diagnosis","healthy",0.629759396516817,0.263524954449017,1496,183,0.016983236761244,0.0349854677281626,268,"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__nan;s__nan"
"178","b1e35c0ea9bb5e1bce8b30a6aedf72a182","diagnosis","healthy",0.4535588906335,0.0910403957411775,1496,1489,7.02834051118578e-07,4.82612715101423e-06,2,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__nan;s__nan"
